date,alt_value,cmc_value,diff_cmc_minus_alt,abs_diff,alt_classification,cmc_classification,same_classification
2023-06-29,54,59,5,5,Neutral,Neutral,True
2023-06-30,56,59,3,3,Greed,Neutral,False
2023-07-01,59,60,1,1,Greed,Greed,True
2023-07-02,63,61,-2,2,Greed,Greed,True
2023-07-03,62,61,-1,1,Greed,Greed,True
2023-07-04,64,61,-3,3,Greed,Greed,True
2023-07-05,61,63,2,2,Greed,Greed,True
2023-07-06,56,59,3,3,Greed,Neutral,False
2023-07-07,55,59,4,4,Greed,Neutral,False
2023-07-08,58,56,-2,2,Greed,Neutral,False
2023-07-09,55,57,2,2,Greed,Neutral,False
2023-07-10,56,57,1,1,Greed,Neutral,False
2023-07-11,57,56,-1,1,Greed,Neutral,False
2023-07-12,64,57,-7,7,Greed,Neutral,False
2023-07-13,57,58,1,1,Greed,Neutral,False
2023-07-14,60,63,3,3,Greed,Greed,True
2023-07-15,56,58,2,2,Greed,Neutral,False
2023-07-16,57,58,1,1,Greed,Neutral,False
2023-07-17,54,57,3,3,Neutral,Neutral,True
2023-07-18,56,57,1,1,Greed,Neutral,False
2023-07-19,50,55,5,5,Neutral,Neutral,True
2023-07-20,56,56,0,0,Greed,Neutral,False
2023-07-21,50,55,5,5,Neutral,Neutral,True
2023-07-22,52,55,3,3,Neutral,Neutral,True
2023-07-23,54,54,0,0,Neutral,Neutral,True
2023-07-24,55,56,1,1,Greed,Neutral,False
2023-07-25,50,52,2,2,Neutral,Neutral,True
2023-07-26,51,52,1,1,Neutral,Neutral,True
2023-07-27,51,52,1,1,Neutral,Neutral,True
2023-07-28,52,51,-1,1,Neutral,Neutral,True
2023-07-29,52,52,0,0,Neutral,Neutral,True
2023-07-30,52,52,0,0,Neutral,Neutral,True
2023-07-31,50,52,2,2,Neutral,Neutral,True
2023-08-01,53,51,-2,2,Neutral,Neutral,True
2023-08-02,53,53,0,0,Neutral,Neutral,True
2023-08-03,52,51,-1,1,Neutral,Neutral,True
2023-08-04,54,51,-3,3,Neutral,Neutral,True
2023-08-05,50,50,0,0,Neutral,Neutral,True
2023-08-06,49,50,1,1,Neutral,Neutral,True
2023-08-07,49,50,1,1,Neutral,Neutral,True
2023-08-08,54,50,-4,4,Neutral,Neutral,True
2023-08-09,50,53,3,3,Neutral,Neutral,True
2023-08-10,53,52,-1,1,Neutral,Neutral,True
2023-08-11,51,51,0,0,Neutral,Neutral,True
2023-08-12,54,51,-3,3,Neutral,Neutral,True
2023-08-13,54,51,-3,3,Neutral,Neutral,True
2023-08-14,50,50,0,0,Neutral,Neutral,True
2023-08-15,53,50,-3,3,Neutral,Neutral,True
2023-08-16,52,49,-3,3,Neutral,Neutral,True
2023-08-17,50,47,-3,3,Neutral,Neutral,True
2023-08-18,37,37,0,0,Fear,Fear,True
2023-08-19,39,34,-5,5,Fear,Fear,True
2023-08-20,37,34,-3,3,Fear,Fear,True
2023-08-21,38,35,-3,3,Fear,Fear,True
2023-08-22,37,34,-3,3,Fear,Fear,True
2023-08-23,37,34,-3,3,Fear,Fear,True
2023-08-24,41,35,-6,6,Fear,Fear,True
2023-08-25,39,34,-5,5,Fear,Fear,True
2023-08-26,38,34,-4,4,Fear,Fear,True
2023-08-27,38,34,-4,4,Fear,Fear,True
2023-08-28,39,35,-4,4,Fear,Fear,True
2023-08-29,39,35,-4,4,Fear,Fear,True
2023-08-30,49,42,-7,7,Neutral,Neutral,True
2023-08-31,52,40,-12,12,Neutral,Neutral,True
2023-09-01,40,35,-5,5,Fear,Fear,True
2023-09-02,39,34,-5,5,Fear,Fear,True
2023-09-03,40,35,-5,5,Fear,Fear,True
2023-09-04,40,35,-5,5,Fear,Fear,True
2023-09-05,40,35,-5,5,Fear,Fear,True
2023-09-06,42,35,-7,7,Fear,Fear,True
2023-09-07,41,35,-6,6,Fear,Fear,True
2023-09-08,46,37,-9,9,Fear,Fear,True
2023-09-09,41,35,-6,6,Fear,Fear,True
2023-09-10,40,35,-5,5,Fear,Fear,True
2023-09-11,40,35,-5,5,Fear,Fear,True
2023-09-12,30,32,2,2,Fear,Fear,True
2023-09-13,41,34,-7,7,Fear,Fear,True
2023-09-14,45,36,-9,9,Fear,Fear,True
2023-09-15,45,38,-7,7,Fear,Fear,True
2023-09-16,43,38,-5,5,Fear,Fear,True
2023-09-17,46,38,-8,8,Fear,Fear,True
2023-09-18,46,38,-8,8,Fear,Fear,True
2023-09-19,46,39,-7,7,Fear,Fear,True
2023-09-20,47,42,-5,5,Neutral,Neutral,True
2023-09-21,47,42,-5,5,Neutral,Neutral,True
2023-09-22,43,39,-4,4,Fear,Fear,True
2023-09-23,47,39,-8,8,Neutral,Fear,False
2023-09-24,44,39,-5,5,Fear,Fear,True
2023-09-25,47,38,-9,9,Neutral,Fear,False
2023-09-26,46,39,-7,7,Fear,Fear,True
2023-09-27,44,38,-6,6,Fear,Fear,True
2023-09-28,46,39,-7,7,Fear,Fear,True
2023-09-29,48,42,-6,6,Neutral,Neutral,True
2023-09-30,47,42,-5,5,Neutral,Neutral,True
2023-10-01,48,42,-6,6,Neutral,Neutral,True
2023-10-02,50,47,-3,3,Neutral,Neutral,True
2023-10-03,50,44,-6,6,Neutral,Neutral,True
2023-10-04,49,44,-5,5,Neutral,Neutral,True
2023-10-05,48,45,-3,3,Neutral,Neutral,True
2023-10-06,50,43,-7,7,Neutral,Neutral,True
2023-10-07,49,46,-3,3,Neutral,Neutral,True
2023-10-08,50,46,-4,4,Neutral,Neutral,True
2023-10-09,50,45,-5,5,Neutral,Neutral,True
2023-10-10,50,43,-7,7,Neutral,Neutral,True
2023-10-11,47,42,-5,5,Neutral,Neutral,True
2023-10-12,45,40,-5,5,Fear,Neutral,False
2023-10-13,44,39,-5,5,Fear,Fear,True
2023-10-14,47,40,-7,7,Neutral,Neutral,True
2023-10-15,45,40,-5,5,Fear,Neutral,False
2023-10-16,47,41,-6,6,Neutral,Neutral,True
2023-10-17,52,47,-5,5,Neutral,Neutral,True
2023-10-18,50,47,-3,3,Neutral,Neutral,True
2023-10-19,52,47,-5,5,Neutral,Neutral,True
2023-10-20,53,49,-4,4,Neutral,Neutral,True
2023-10-21,63,53,-10,10,Greed,Neutral,False
2023-10-22,53,54,1,1,Neutral,Neutral,True
2023-10-23,53,55,2,2,Neutral,Neutral,True
2023-10-24,66,67,1,1,Greed,Greed,True
2023-10-25,72,71,-1,1,Greed,Greed,True
2023-10-26,71,72,1,1,Greed,Greed,True
2023-10-27,70,71,1,1,Greed,Greed,True
2023-10-28,65,71,6,6,Greed,Greed,True
2023-10-29,72,71,-1,1,Greed,Greed,True
2023-10-30,68,72,4,4,Greed,Greed,True
