asset,target,x,lag,coefficient,hac_se,t,p,n,r2,controls,lag_convention,note
eth,eth_ret,stables_total_usd_ret,-5,0.2702299582833767,0.18913561779402654,1.428762923848981,0.1530723853290865,2287,0.1373498453730011,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_ret,stables_total_usd_ret,-4,0.20361508247860394,0.17971470948252524,1.13299063312568,0.25721818688976517,2288,0.13685297964594934,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_ret,stables_total_usd_ret,-3,0.2425863787170952,0.21031670260763516,1.1534337297483312,0.24873240369441285,2289,0.13710348880893874,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_ret,stables_total_usd_ret,-2,0.26559870561438664,0.20655413425658553,1.2858551903127478,0.1984936046628003,2290,0.13727390998968947,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_ret,stables_total_usd_ret,-1,0.41957041623215424,0.19578010061631096,2.143069775280311,0.0321074960024593,2291,0.13829580727667112,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_ret,stables_total_usd_ret,0,0.1217769547579843,0.23262620424199917,0.5234876920026632,0.6006349138958608,2291,0.1359400530133109,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_ret,stables_total_usd_ret,1,0.8406117658812767,0.1981108450370429,4.243138560759249,2.204152472801052e-05,2290,0.14577351497310098,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_ret,stables_total_usd_ret,2,0.8494479708089624,0.17603323164880125,4.825497792960316,1.3965401154736765e-06,2289,0.14612456651011319,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_ret,stables_total_usd_ret,3,0.4497368863176666,0.20975075646973587,2.1441490552266846,0.032020945547284574,2288,0.13874217904494213,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_ret,stables_total_usd_ret,4,0.45094715639279237,0.20430952285011658,2.2071763963915254,0.027301738119749668,2287,0.13990394953784568,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_ret,stables_total_usd_ret,5,0.23685855376531478,0.2320781322068977,1.0205983282998647,0.30744478181970847,2286,0.1382337254160907,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,-5,10.954998884213637,1.4441463312686322,7.585795599113597,3.3045301978280894e-14,2263,0.05984642514622052,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,-4,10.639828667960696,1.4363614392132873,7.407486985858003,1.28715111126572e-13,2263,0.05683809071567514,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,-3,10.712434867630074,1.451074082023341,7.382417617640118,1.5544071591298348e-13,2263,0.05756465501489583,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,-2,10.455111234611847,1.4478199072717453,7.221278822110779,5.150093353709504e-13,2263,0.05498294709238416,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,-1,10.181203687029189,1.4589175712845723,6.978601044653038,2.981337569896985e-12,2263,0.052504086567003894,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,0,10.374920782694199,1.478385956902346,7.017734938738672,2.2549379750299426e-12,2263,0.05355371128840092,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,1,10.326902432785113,1.474512878796411,7.003602736392898,2.4946282770925602e-12,2262,0.05305104909028058,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,2,9.907006029789004,1.4509666909209409,6.8278659267504915,8.618707483494805e-12,2261,0.049795472997534285,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,3,9.911483867992352,1.4192529430739997,6.983592259829873,2.8772634349302032e-12,2260,0.04982220364775314,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,4,9.70101263794991,1.4211466630686156,6.8261868321197525,8.720135085795975e-12,2259,0.048146724684536735,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
eth,eth_rv_30d,stables_total_usd_ret,5,9.407043108691145,1.4037314573933566,6.701454939365289,2.0635449197907016e-11,2258,0.04554793887290265,spy_ret;VIXCLS_d1;DGS10_d1;eth_ret_lag1,lag < 0 means x is shifted earlier and leads the target; lag -1 uses x[t-1] to explain y[t],ok
