component,count,mean,std,min,25%,50%,75%,max
Macro_pc1,2287.0,6.213753701443815e-18,1.367977690675334,-5.324716949404597,-0.4338841985090012,-0.04000222879798411,0.4802373310348793,5.170532808832927
Macro_pc2,2287.0,2.4078295593094783e-17,1.0903628163673211,-4.171908221496235,-0.40728248328676725,0.011132503263265628,0.2967503837541047,5.375718491611843
TradFi_pc1,2291.0,-1.5507261801835447e-18,1.3984508190597182,-5.5651503130979885,-0.32647230097590263,-0.06062421054494696,0.5770649685263413,4.524443084627782
TradFi_pc2,2291.0,0.0,0.986391913097092,-4.192348622301648,-0.29579664669673916,-0.05231486916041395,0.39121748956527624,3.7431126120073768
Liquidity_pc1,2292.0,-4.960158713857593e-17,1.0841187684375195,-3.6333761900185695,-0.5721130928281376,-0.15596323644157406,0.4572445236832021,5.866123760884336
Liquidity_pc2,2292.0,0.0,0.9081225115156631,-6.138328825301144,-0.31653537083057465,0.11465323553301882,0.4888304067167123,2.6995602897598756
BTC Native_pc1,1942.0,-5.716905379120271e-18,1.0616726540635741,-4.429484934605197,-0.5557864811994807,-0.032840485357337565,0.4918227760227901,4.162593189046372
BTC Native_pc2,1942.0,6.402934024614703e-18,1.0232192406695495,-3.879559710125352,-0.48153351825153834,-0.03572008349882005,0.4804069716112209,5.024534565994122
ETF Flow_pc1,627.0,-3.399726008421532e-17,1.2265145116922278,-3.5726659595755397,-0.3873537723944717,-0.24379417294246844,0.4964196529317186,4.901364401895972
ETF Flow_pc2,627.0,-1.204069627982626e-17,0.704032778078106,-2.5484469977149877,-0.2967395184636513,0.048492874420948046,0.16820899475878456,3.018257166910609
