feature,block,model_family,n,missing_pct,correlation,abs_correlation,univariate_beta,univariate_hac_t,univariate_r2,standardized_multivar_beta,multivar_hac_t,multivar_p,multivar_r2,drop_one_delta_r2,note,rank_by_abs_corr,rank_by_abs_t,rank_by_delta_r2
DGS10_d1,Macro,eth_full,1559,0.3201,0.0024,0.0024,0.001831,0.0804,6e-06,0.069077,1.7598,0.078447,0.178544,0.001766,ok,11,6,6
DGS2_d1,Macro,eth_full,1559,0.3201,-0.003558,0.003558,-0.002663,-0.1269,1.3e-05,-0.039745,-1.0408,0.297982,0.178544,0.000565,ok,8,8,9
VIXCLS_d1,Macro,eth_full,1559,0.3201,-0.353864,0.353864,-0.010387,-11.6274,0.12522,-0.139726,-3.3368,0.000847,0.178544,0.007098,ok,3,1,2
DTWEXBGS_d1,Macro,eth_full,1559,0.3201,-0.176887,0.176887,-0.021858,-6.5811,0.031289,-0.075121,-2.7183,0.006562,0.178544,0.004236,ok,4,4,4
DFF_d1,Macro,eth_full,1559,0.3201,-0.002298,0.002298,-0.043497,-0.0766,5e-06,0.005448,0.1928,0.847108,0.178544,2.9e-05,ok,12,12,12
spy_ret,TradFi,eth_full,1559,0.3201,0.38813,0.38813,1.767143,12.4422,0.150645,0.026908,0.2994,0.764637,0.178544,6.4e-05,ok,1,11,11
qqq_ret,TradFi,eth_full,1559,0.3201,0.386966,0.386966,1.300596,12.6038,0.149743,0.239485,3.0554,0.002248,0.178544,0.00636,ok,2,2,3
gld_ret,TradFi,eth_full,1559,0.3201,0.098195,0.098195,0.435735,3.4722,0.009642,0.029293,1.1204,0.262529,0.178544,0.000672,ok,5,7,8
defi_tvl_usd_ret,Liquidity,eth_full,1559,0.3201,0.078365,0.078365,0.120861,2.7644,0.006141,0.102416,3.0469,0.002312,0.178544,0.00718,ok,6,3,1
stables_total_usd_ret,Liquidity,eth_full,1559,0.3201,0.003471,0.003471,0.032225,0.1078,1.2e-05,-0.010949,-0.3389,0.734677,0.178544,0.000115,ok,9,10,10
fng_value_d1,Sentiment,eth_full,1559,0.3201,-0.002958,0.002958,-1.9e-05,-0.1113,9e-06,-0.077122,-2.3862,0.017022,0.178544,0.004225,ok,10,5,5
cme_eth_basis_close_d1,ETH Native,eth_full,1559,0.3201,0.045098,0.045098,7.7e-05,1.4016,0.002034,0.029029,0.9751,0.329499,0.178544,0.000835,ok,7,9,7
