regime,feature,block,model_family,n,missing_pct,correlation,abs_correlation,univariate_beta,univariate_hac_t,univariate_r2,standardized_multivar_beta,multivar_hac_t,multivar_p,multivar_r2,drop_one_delta_r2,note,rank_by_abs_corr,rank_by_abs_t,rank_by_delta_r2
post_btc_etf,DGS10_d1,Macro,btc_etf_era_ex_mvrv,729,0.1131,0.061331,0.061331,0.035419,1.3074,0.003762,0.081699,1.1878,0.234932,0.286226,0.002285,ok,10,7,6
post_btc_etf,DGS2_d1,Macro,btc_etf_era_ex_mvrv,729,0.1131,0.07099,0.07099,0.03965,1.3423,0.00504,-0.042121,-0.5682,0.569917,0.286226,0.000603,ok,9,12,10
post_btc_etf,VIXCLS_d1,Macro,btc_etf_era_ex_mvrv,729,0.1131,-0.350837,0.350837,-0.006673,-7.2099,0.123087,-0.181846,-3.4158,0.000636,0.286226,0.009755,ok,4,2,3
post_btc_etf,DTWEXBGS_d1,Macro,btc_etf_era_ex_mvrv,729,0.1131,-0.094381,0.094381,-0.007931,-2.2609,0.008908,-0.041347,-1.1268,0.259827,0.286226,0.001238,ok,8,8,8
post_btc_etf,DFF_d1,Macro,btc_etf_era_ex_mvrv,729,0.1131,-0.03263,0.03263,-0.60713,-1.3429,0.001065,-0.01371,-0.6091,0.542448,0.286226,0.000181,ok,12,11,15
post_btc_etf,spy_ret,TradFi,btc_etf_era_ex_mvrv,729,0.1131,0.365892,0.365892,1.230754,7.2213,0.133877,0.074168,0.555,0.578866,0.286226,0.000362,ok,2,13,12
post_btc_etf,qqq_ret,TradFi,btc_etf_era_ex_mvrv,729,0.1131,0.357503,0.357503,0.897143,7.3095,0.127808,0.055095,0.4742,0.635361,0.286226,0.000256,ok,3,14,14
post_btc_etf,gld_ret,TradFi,btc_etf_era_ex_mvrv,729,0.1131,0.11577,0.11577,0.299012,2.4458,0.013403,0.07009,1.909,0.056258,0.286226,0.004023,ok,6,5,5
post_btc_etf,defi_tvl_usd_ret,Liquidity,btc_etf_era_ex_mvrv,729,0.1131,-0.031975,0.031975,-0.032514,-0.7424,0.001022,-0.138718,-3.1557,0.001601,0.286226,0.01158,ok,13,3,2
post_btc_etf,stables_total_usd_ret,Liquidity,btc_etf_era_ex_mvrv,729,0.1131,-0.030992,0.030992,-0.252716,-0.9577,0.00096,-0.048237,-1.5453,0.122278,0.286226,0.002168,ok,14,6,7
post_btc_etf,fng_value_d1,Sentiment,btc_etf_era_ex_mvrv,729,0.1131,-0.019268,0.019268,-7.6e-05,-0.5601,0.000371,-0.039305,-1.0324,0.301871,0.286226,0.001002,ok,15,9,9
post_btc_etf,cme_btc_basis_close_d1,BTC Native Flow,btc_etf_era_ex_mvrv,729,0.1131,0.049424,0.049424,3e-06,1.1902,0.002443,0.024688,0.6646,0.506328,0.286226,0.000592,ok,11,10,11
post_btc_etf,btc_exchange_netflow_d1,BTC Native Flow,btc_etf_era_ex_mvrv,729,0.1131,-0.132796,0.132796,-0.0,-3.058,0.017635,-0.016809,-0.4735,0.635879,0.286226,0.000263,ok,5,15,13
post_btc_etf,btc_miner_to_exchange_flow_d1,BTC Native Flow,btc_etf_era_ex_mvrv,729,0.1131,-0.102999,0.102999,-1e-06,-1.9735,0.010609,-0.098413,-2.4183,0.015595,0.286226,0.00924,ok,7,4,4
post_btc_etf,btc_etf_intensity,ETF Flow,btc_etf_era_ex_mvrv,729,0.1131,0.372046,0.372046,53.315858,9.219,0.138418,0.378534,9.033,0.0,0.286226,0.118008,ok,1,1,1
