snapshot_date,month,universe_type,asset_class,asset_count,market_cap_usd,total_market_cap_usd,market_cap_share
2020-01-31,2020-01,clean_risk_top100,base_assets,6,209325668805.3228,251682636300.91943,0.8317048481447352
2020-01-31,2020-01,clean_risk_top100,risk_assets,94,42356967495.59661,251682636300.91943,0.16829515185526478
2020-01-31,2020-01,ex_stable_top100,base_assets,6,209325668805.3228,251682636300.91943,0.8317048481447352
2020-01-31,2020-01,ex_stable_top100,risk_assets,94,42356967495.59661,251682636300.91943,0.16829515185526478
2020-01-31,2020-01,full_top100,base_assets,6,209325668805.3228,256722465246.13046,0.8153772931583281
2020-01-31,2020-01,full_top100,risk_assets,89,42206556033.93752,256722465246.13046,0.16440538615688483
2020-01-31,2020-01,full_top100,stablecoins,5,5190240406.870117,256722465246.13046,0.020217320684787047
2020-02-29,2020-02,clean_risk_top100,base_assets,6,200541519662.20786,239400553232.63354,0.8376819391362681
2020-02-29,2020-02,clean_risk_top100,risk_assets,94,38859033570.425674,239400553232.63354,0.1623180608637318
2020-02-29,2020-02,ex_stable_top100,base_assets,6,200541519662.20786,239400553232.63354,0.8376819391362681
2020-02-29,2020-02,ex_stable_top100,risk_assets,94,38859033570.425674,239400553232.63354,0.1623180608637318
2020-02-29,2020-02,full_top100,base_assets,6,200541519662.20786,244419336451.81277,0.8204814012403007
2020-02-29,2020-02,full_top100,risk_assets,89,38686611294.896706,244419336451.81277,0.15827966746208627
2020-02-29,2020-02,full_top100,stablecoins,5,5191205494.708223,244419336451.81277,0.021238931297613062
2020-03-31,2020-03,clean_risk_top100,base_assets,6,142842782405.9012,169661017530.20636,0.8419304828256706
2020-03-31,2020-03,clean_risk_top100,risk_assets,94,26818235124.30516,169661017530.20636,0.15806951717432943
2020-03-31,2020-03,ex_stable_top100,base_assets,6,142842782405.9012,169687491816.59564,0.8417991265985052
2020-03-31,2020-03,ex_stable_top100,risk_assets,93,26794806043.823788,169687491816.59564,0.15790678356413318
2020-03-31,2020-03,ex_stable_top100,tokenized_commodities,1,49903366.87063843,169687491816.59564,0.00029408983736158815
2020-03-31,2020-03,full_top100,base_assets,6,142842782405.9012,175023733906.06406,0.8161337849332223
2020-03-31,2020-03,full_top100,risk_assets,88,26673313985.054295,175023733906.06406,0.15239826845066606
2020-03-31,2020-03,full_top100,stablecoins,5,5457734148.237922,175023733906.06406,0.03118282318880884
2020-03-31,2020-03,full_top100,tokenized_commodities,1,49903366.87063843,175023733906.06406,0.0002851234273028466
2020-04-30,2020-04,clean_risk_top100,base_assets,6,199826435761.78348,235693466453.2067,0.8478233986238051
2020-04-30,2020-04,clean_risk_top100,risk_assets,94,35867030691.42321,235693466453.2067,0.15217660137619493
