cycle_phase,universe_type,asset_class,snapshots,mean_asset_count,mean_market_cap_share
btc_etf_era_pre_2024_halving,clean_risk_top100,base_assets,3,8.0,0.8699001528056254
btc_etf_era_pre_2024_halving,clean_risk_top100,risk_assets,3,92.0,0.13009984719437465
btc_etf_era_pre_2024_halving,ex_stable_top100,base_assets,3,8.0,0.8530844787593629
btc_etf_era_pre_2024_halving,ex_stable_top100,lst_restaking,3,3.3333333333333335,0.01657488961130435
btc_etf_era_pre_2024_halving,ex_stable_top100,risk_assets,3,87.33333333333333,0.12557914636934323
btc_etf_era_pre_2024_halving,ex_stable_top100,wrapped_assets,3,1.3333333333333333,0.004761485259989529
btc_etf_era_pre_2024_halving,full_top100,base_assets,3,8.0,0.7984642343685119
btc_etf_era_pre_2024_halving,full_top100,lst_restaking,3,3.3333333333333335,0.015520084994043197
btc_etf_era_pre_2024_halving,full_top100,risk_assets,3,82.0,0.1152771178415687
btc_etf_era_pre_2024_halving,full_top100,stablecoins,3,5.333333333333333,0.06627949814951017
btc_etf_era_pre_2024_halving,full_top100,wrapped_assets,3,1.3333333333333333,0.004459064646366146
eth_etf_era,clean_risk_top100,base_assets,24,8.5,0.9010618282539452
eth_etf_era,clean_risk_top100,risk_assets,24,91.5,0.09893817174605492
eth_etf_era,ex_stable_top100,base_assets,24,8.333333333333334,0.8742052812400121
eth_etf_era,ex_stable_top100,lst_restaking,24,10.208333333333334,0.018705761821060474
eth_etf_era,ex_stable_top100,risk_assets,24,73.08333333333333,0.09169166259786142
eth_etf_era,ex_stable_top100,tokenized_commodities,15,1.9333333333333333,0.0013312020939110943
eth_etf_era,ex_stable_top100,tokenized_rwa,10,1.0,0.006150469849750923
eth_etf_era,ex_stable_top100,wrapped_assets,24,6.75,0.012002597261642116
eth_etf_era,full_top100,base_assets,24,8.333333333333334,0.7991960707546281
eth_etf_era,full_top100,bridged_stables,5,1.0,0.0004354969424444981
eth_etf_era,full_top100,lst_restaking,24,7.708333333333333,0.016381157430279947
eth_etf_era,full_top100,risk_assets,24,62.625,0.08097029432305329
eth_etf_era,full_top100,stable_yield_tokens,18,3.5,0.0033724628791143066
eth_etf_era,full_top100,stablecoins,24,9.291666666666666,0.08436199973386176
eth_etf_era,full_top100,synthetic_stables,19,2.5789473684210527,0.003590465174018734
eth_etf_era,full_top100,tokenized_commodities,11,1.8181818181818181,0.001400849308474489
eth_etf_era,full_top100,tokenized_rwa,10,1.0,0.005438374145990523
eth_etf_era,full_top100,wrapped_assets,24,5.916666666666667,0.010719905312520277
post_2020_halving,clean_risk_top100,base_assets,44,7.818181818181818,0.8365832474012873
post_2020_halving,clean_risk_top100,risk_assets,44,92.18181818181819,0.16341675259871274
post_2020_halving,ex_stable_top100,base_assets,44,7.818181818181818,0.8281797023685201
post_2020_halving,ex_stable_top100,lst_restaking,32,1.59375,0.008147106945914636
post_2020_halving,ex_stable_top100,risk_assets,44,89.11363636363636,0.1607210566909516
post_2020_halving,ex_stable_top100,tokenized_commodities,25,1.76,0.0008640402174107145
post_2020_halving,ex_stable_top100,wrapped_assets,40,1.0,0.005151454341967635
post_2020_halving,full_top100,base_assets,44,7.75,0.7566260642742603
post_2020_halving,full_top100,lst_restaking,32,1.375,0.0071723367954627465
post_2020_halving,full_top100,risk_assets,44,81.72727272727273,0.1443277864773995
post_2020_halving,full_top100,stablecoins,44,7.818181818181818,0.08922133667992081
post_2020_halving,full_top100,tokenized_commodities,21,1.6666666666666667,0.0007611498659764732
post_2020_halving,full_top100,wrapped_assets,40,1.0,0.004669820709253555
post_2024_halving_pre_eth_etf,clean_risk_top100,base_assets,3,8.0,0.8815399535438734
post_2024_halving_pre_eth_etf,clean_risk_top100,risk_assets,3,92.0,0.11846004645612652
post_2024_halving_pre_eth_etf,ex_stable_top100,base_assets,3,8.0,0.8617639838143819
post_2024_halving_pre_eth_etf,ex_stable_top100,lst_restaking,3,5.666666666666667,0.01883705674473317
post_2024_halving_pre_eth_etf,ex_stable_top100,risk_assets,3,84.33333333333333,0.11302832220620607
post_2024_halving_pre_eth_etf,ex_stable_top100,wrapped_assets,3,2.0,0.006370637234678747
post_2024_halving_pre_eth_etf,full_top100,base_assets,3,8.0,0.8064448787370145
post_2024_halving_pre_eth_etf,full_top100,lst_restaking,3,5.333333333333333,0.017513115760300905
post_2024_halving_pre_eth_etf,full_top100,risk_assets,3,79.66666666666667,0.10406310568818483
post_2024_halving_pre_eth_etf,full_top100,stablecoins,3,5.0,0.06601710117961833
post_2024_halving_pre_eth_etf,full_top100,wrapped_assets,3,2.0,0.005961798634881401
pre_2020_halving,clean_risk_top100,base_assets,4,6.0,0.8397851671826198
pre_2020_halving,clean_risk_top100,risk_assets,4,94.0,0.16021483281738025
pre_2020_halving,ex_stable_top100,base_assets,4,6.0,0.8397036315369664
pre_2020_halving,ex_stable_top100,risk_assets,4,93.5,0.16013091181607292
pre_2020_halving,ex_stable_top100,tokenized_commodities,2,1.0,0.00033091329392131064
pre_2020_halving,full_top100,base_assets,4,6.0,0.8171095005327259
pre_2020_halving,full_top100,risk_assets,4,88.0,0.1551257154049848
pre_2020_halving,full_top100,stablecoins,4,5.5,0.027604951150013442
pre_2020_halving,full_top100,tokenized_commodities,2,1.0,0.0003196658245517392
