asset,frequency,feature_id,model_family,p_value,fdr_q_value
BTC,daily,qqq_ret,ex_mvrv_primary_exposure,0.9760616733471811,0.9760616733471811
BTC,daily,spy_ret,ex_mvrv_primary_exposure,0.7854403919368148,0.9760616733471811
BTC,daily,vix_d1,ex_mvrv_primary_exposure,0.8459005484293003,0.9760616733471811
BTC,daily,dxy_ret,ex_mvrv_primary_exposure,0.38749493500601007,0.8395723591796885
BTC,daily,real_yield_d1,ex_mvrv_primary_exposure,0.9007910733717386,0.9760616733471811
BTC,daily,nominal_10y_d1,ex_mvrv_primary_exposure,0.9742511154515247,0.9760616733471811
BTC,daily,gold_ret,ex_mvrv_primary_exposure,0.9130506778441628,0.9760616733471811
BTC,daily,btc_etf_flow_intensity,ex_mvrv_primary_exposure,0.10319779366444497,0.4471904392125949
BTC,daily,stablecoin_supply_growth,ex_mvrv_primary_exposure,0.06523479664184105,0.4471904392125949
BTC,daily,defi_tvl_growth,ex_mvrv_primary_exposure,0.21643329745882278,0.5627265733929392
BTC,daily,fear_greed_altme,ex_mvrv_primary_exposure,0.47910453923441265,0.8897655728639092
BTC,daily,btc_oi_growth,ex_mvrv_primary_exposure,0.0794645367372224,0.4471904392125949
BTC,daily,btc_funding_z,ex_mvrv_primary_exposure,0.1962185556171101,0.5627265733929392
BTC,weekly,qqq_ret,ex_mvrv_primary_exposure,,
BTC,weekly,spy_ret,ex_mvrv_primary_exposure,,
BTC,weekly,vix_d1,ex_mvrv_primary_exposure,,
BTC,weekly,dxy_ret,ex_mvrv_primary_exposure,,
BTC,weekly,real_yield_d1,ex_mvrv_primary_exposure,,
BTC,weekly,nominal_10y_d1,ex_mvrv_primary_exposure,,
BTC,weekly,gold_ret,ex_mvrv_primary_exposure,,
BTC,weekly,btc_etf_flow_intensity,ex_mvrv_primary_exposure,,
BTC,weekly,stablecoin_supply_growth,ex_mvrv_primary_exposure,,
BTC,weekly,defi_tvl_growth,ex_mvrv_primary_exposure,,
BTC,weekly,fear_greed_altme,ex_mvrv_primary_exposure,,
BTC,weekly,btc_oi_growth,ex_mvrv_primary_exposure,,
BTC,weekly,btc_funding_z,ex_mvrv_primary_exposure,,
ETH,daily,qqq_ret,ex_mvrv_primary_exposure,0.8928380886258901,0.9280677086827966
ETH,daily,spy_ret,ex_mvrv_primary_exposure,0.7792496167910661,0.9280677086827966
ETH,daily,vix_d1,ex_mvrv_primary_exposure,0.7571727287866122,0.9280677086827966
ETH,daily,dxy_ret,ex_mvrv_primary_exposure,0.7754382019585361,0.9280677086827966
ETH,daily,real_yield_d1,ex_mvrv_primary_exposure,0.7633061810156903,0.9280677086827966
ETH,daily,nominal_10y_d1,ex_mvrv_primary_exposure,0.5614133097448123,0.9280677086827966
ETH,daily,gold_ret,ex_mvrv_primary_exposure,0.9280677086827968,0.9280677086827966
ETH,daily,eth_etf_flow_intensity,ex_mvrv_primary_exposure,0.02917966955368521,0.37933570419790774
ETH,daily,stablecoin_supply_growth,ex_mvrv_primary_exposure,0.30027936596175064,0.9280677086827966
ETH,daily,defi_tvl_growth,ex_mvrv_primary_exposure,0.3637677048656609,0.9280677086827966
ETH,daily,fear_greed_altme,ex_mvrv_primary_exposure,0.6295181372028438,0.9280677086827966
ETH,daily,eth_oi_growth,ex_mvrv_primary_exposure,0.8155834318848381,0.9280677086827966
ETH,daily,eth_funding_z,ex_mvrv_primary_exposure,0.1323624276068388,0.8603557794444523
ETH,weekly,qqq_ret,ex_mvrv_primary_exposure,,
ETH,weekly,spy_ret,ex_mvrv_primary_exposure,,
ETH,weekly,vix_d1,ex_mvrv_primary_exposure,,
ETH,weekly,dxy_ret,ex_mvrv_primary_exposure,,
ETH,weekly,real_yield_d1,ex_mvrv_primary_exposure,,
ETH,weekly,nominal_10y_d1,ex_mvrv_primary_exposure,,
ETH,weekly,gold_ret,ex_mvrv_primary_exposure,,
ETH,weekly,eth_etf_flow_intensity,ex_mvrv_primary_exposure,,
ETH,weekly,stablecoin_supply_growth,ex_mvrv_primary_exposure,,
ETH,weekly,defi_tvl_growth,ex_mvrv_primary_exposure,,
ETH,weekly,fear_greed_altme,ex_mvrv_primary_exposure,,
ETH,weekly,eth_oi_growth,ex_mvrv_primary_exposure,,
ETH,weekly,eth_funding_z,ex_mvrv_primary_exposure,,
