asset,frequency,model_family,regime,n,acceptance_threshold,sample_start,sample_end,full_r2,feature_count,status
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,1233,120,2020-01-03,2026-04-10,0.2373892349830511,8,passed
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,797,120,2020-01-03,2024-01-10,0.25888266154910544,8,passed
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,436,80,2024-01-11,2026-04-10,0.24722655853062325,8,passed
BTC,daily,long_sample_lagged_state_association,full_common_sample,2263,120,2020-01-31,2026-04-11,0.00830171705915883,7,passed
BTC,daily,etf_era_augmented,btc_etf_era,435,80,2024-01-12,2026-04-10,0.4149828185854736,17,passed
BTC,weekly,long_sample_contemporaneous_exposure,full_common_sample,328,100,2020-01-05,2026-04-12,0.18746139782837445,8,passed
BTC,weekly,long_sample_contemporaneous_exposure,pre_btc_etf,210,100,2020-01-05,2024-01-07,0.19376233758469508,8,passed
BTC,weekly,long_sample_contemporaneous_exposure,btc_etf_era,118,100,2024-01-14,2026-04-12,0.2470504327195039,8,passed
BTC,weekly,long_sample_lagged_state_association,full_common_sample,323,100,2020-02-09,2026-04-12,0.022626260461011904,7,passed
BTC,weekly,etf_era_augmented,btc_etf_era,117,40,2024-01-21,2026-04-12,0.5812184888205196,17,passed
ETH,daily,long_sample_contemporaneous_exposure,full_common_sample,1233,120,2020-01-03,2026-04-10,0.23374660887951493,8,passed
ETH,daily,long_sample_contemporaneous_exposure,pre_btc_etf,797,120,2020-01-03,2024-01-10,0.24267988905415183,8,passed
ETH,daily,long_sample_contemporaneous_exposure,btc_etf_era,436,80,2024-01-11,2026-04-10,0.2821757694199051,8,passed
ETH,daily,long_sample_lagged_state_association,full_common_sample,2263,120,2020-01-31,2026-04-11,0.006852409176434926,6,passed
ETH,daily,etf_era_augmented,eth_etf_era,333,80,2024-07-24,2026-04-10,0.3679632086958894,16,passed
ETH,weekly,long_sample_contemporaneous_exposure,full_common_sample,328,100,2020-01-05,2026-04-12,0.21831097924604104,8,passed
ETH,weekly,long_sample_contemporaneous_exposure,pre_btc_etf,210,100,2020-01-05,2024-01-07,0.22421231659280494,8,passed
ETH,weekly,long_sample_contemporaneous_exposure,btc_etf_era,118,100,2024-01-14,2026-04-12,0.2551250284630693,8,passed
ETH,weekly,long_sample_lagged_state_association,full_common_sample,323,100,2020-02-09,2026-04-12,0.033998001547994816,6,passed
ETH,weekly,etf_era_augmented,eth_etf_era,89,40,2024-08-04,2026-04-12,0.4973019928931238,16,passed
