month,asset_class_final,market_cap_usd,share
2020-01-01,BTC,172993102966.37723,0.6738526088884413
2020-01-01,ETH,20090242968.224342,0.07825666113389412
2020-01-01,other risk assets,41676811374.45838,0.16234189452216852
2020-01-01,selected majors ex BTC/ETH,16772067530.200386,0.06533151477070895
2020-01-01,stable-like assets,5190240406.870117,0.020217320684787047
2020-02-01,BTC,159030381910.26715,0.650645665841663
2020-02-01,ETH,25137364865.97101,0.1028452381504883
2020-02-01,other risk assets,38798667314.45148,0.15873812554147337
2020-02-01,selected majors ex BTC/ETH,16261716866.414919,0.06653203916876238
2020-02-01,stable-like assets,5191205494.708223,0.021238931297613062
2020-03-01,BTC,117151628726.53436,0.6693471000305028
2020-03-01,ETH,14615131244.892357,0.08350371071809241
2020-03-01,other risk assets,26473719302.738377,0.15125788207070778
2020-03-01,productized/wrapped assets,49903366.87063843,0.0002851234273028466
2020-03-01,selected majors ex BTC/ETH,11275617116.790398,0.0644233605645853
2020-03-01,stable-like assets,5457734148.237922,0.03118282318880884
2020-04-01,BTC,160483573440.17792,0.6556995050155658
2020-04-01,ETH,23796586177.48911,0.09722745726032961
2020-04-01,other risk assets,35757001613.7795,0.14609500372158474
2020-04-01,productized/wrapped assets,86693067.08582471,0.00035420822180063174
2020-04-01,selected majors ex BTC/ETH,15524663554.30851,0.06343025638002643
2020-04-01,stable-like assets,9103189617.74528,0.03719356940069268
2020-05-01,BTC,177978616382.68933,0.6611246624559698
2020-05-01,ETH,27012940828.46696,0.10034307351150029
2020-05-01,governance/infrastructure risk assets,47385309.57489032,0.0001760188804407292
2020-05-01,other risk assets,38071805425.047516,0.14142266089204197
2020-05-01,productized/wrapped assets,88010209.64757217,0.0003269253426536335
2020-05-01,selected majors ex BTC/ETH,15472463605.217785,0.057474473542186766
2020-05-01,stable-like assets,10534612614.869816,0.039132185375206754
2020-06-01,BTC,169175896894.16483,0.654631323118046
2020-06-01,ETH,25465535919.172665,0.09853967248719296
2020-06-01,other risk assets,38245563977.59412,0.1479923831331074
2020-06-01,productized/wrapped assets,88615642.77571751,0.0003429009483278522
2020-06-01,selected majors ex BTC/ETH,14166355648.470787,0.05481714778625242
2020-06-01,stable-like assets,11287304883.818197,0.04367657252707344
2020-07-01,BTC,205200775318.2176,0.6300224242572968
2020-07-01,ETH,37564052087.124535,0.11533189932716838
2020-07-01,other risk assets,49978943296.74394,0.1534490060712608
2020-07-01,productized/wrapped assets,94193264.86566348,0.0002891990490160027
2020-07-01,selected majors ex BTC/ETH,20072266756.857716,0.06162734104139588
2020-07-01,stable-like assets,12793692529.587364,0.039280130253862205
2020-08-01,BTC,216179629567.1804,0.5776175282571387
2020-08-01,ETH,48092923342.6494,0.12850107830908483
2020-08-01,other risk assets,71579613536.67049,0.191255945471977
2020-08-01,selected majors ex BTC/ETH,22314726583.160393,0.05962345868806037
2020-08-01,stable-like assets,16093961240.924118,0.0430019892737391
2020-09-01,BTC,200532996047.58585,0.589658535135121
2020-09-01,ETH,40574256067.82458,0.11930683163719061
2020-09-01,other risk assets,57176517313.5201,0.16812505726098947
2020-09-01,productized/wrapped assets,997964563.109892,0.0029344713039668575
2020-09-01,selected majors ex BTC/ETH,20720923882.06485,0.06092897360415114
2020-09-01,stable-like assets,20080600653.872196,0.059046131058580864
2020-10-01,BTC,250845436637.92023,0.6408713454034276
2020-10-01,ETH,43341298725.501526,0.11073032381225748
2020-10-01,other risk assets,53705987254.22328,0.13721050208903962
2020-10-01,productized/wrapped assets,1681400159.1404035,0.004295717700080149
2020-10-01,selected majors ex BTC/ETH,20094280035.888985,0.051337781759617104
2020-10-01,stable-like assets,21744691932.595226,0.05555432923557808
2020-11-01,BTC,336495192223.0139,0.6256924211306497
2020-11-01,ETH,65121266717.86392,0.12108904965510037
2020-11-01,other risk assets,69834701376.91351,0.12985339580869204
2020-11-01,productized/wrapped assets,2228344359.275952,0.00414347131695167
2020-11-01,selected majors ex BTC/ETH,39592268092.526054,0.0736194235561269
2020-11-01,stable-like assets,24524724133.716537,0.04560223853247936
2020-12-01,BTC,535967306917.8413,0.7092338835205595
2020-12-01,ETH,85790178023.44371,0.11352427721270347
2020-12-01,other risk assets,79897235737.54825,0.10572627481807452
2020-12-01,productized/wrapped assets,3261341964.455779,0.004315662909070146
2020-12-01,selected majors ex BTC/ETH,23527510455.12899,0.031133443018418253
2020-12-01,stable-like assets,27255385131.493553,0.03606645852117406
2021-01-01,BTC,636624676861.2642,0.6325992919774487
2021-01-01,ETH,157410718624.21973,0.15641540890668806
2021-01-01,other risk assets,127742683451.7283,0.12693496504923119
2021-01-01,productized/wrapped assets,3976990303.884271,0.003951843750138876
2021-01-01,selected majors ex BTC/ETH,44335640691.156555,0.04405530594395141
2021-01-01,stable-like assets,36272536019.591896,0.03604318437254172
2021-02-01,BTC,869649724200.5775,0.6163044139562341
2021-02-01,ETH,167833687528.28204,0.11894057981713886
2021-02-01,other risk assets,207924590878.2981,0.1473522494888801
2021-02-01,productized/wrapped assets,5680325610.992746,0.004025539995406288
2021-02-01,selected majors ex BTC/ETH,110440548538.05783,0.07826714095300988
2021-02-01,stable-like assets,49542834734.62378,0.03511007578933076
2021-03-01,BTC,1095293012032.8431,0.6099206516226725
2021-03-01,ETH,212080597430.12268,0.11809838532707391
2021-03-01,other risk assets,291650344088.6532,0.16240728824004771
2021-03-01,productized/wrapped assets,8210544641.749964,0.004572092292252312
2021-03-01,selected majors ex BTC/ETH,129383116850.11217,0.07204778453916268
2021-03-01,stable-like assets,59178295652.20436,0.032953797978790854
2021-04-01,BTC,1001973605935.3958,0.49272747359768804
2021-04-01,ETH,318971242360.58826,0.15685632183087875
2021-04-01,other risk assets,367092295032.85376,0.1805201834032917
2021-04-01,productized/wrapped assets,8678870520.6252,0.004267894802794666
2021-04-01,selected majors ex BTC/ETH,258891749572.51724,0.12731181434970518
2021-04-01,stable-like assets,77917176073.28949,0.03831631201564161
2021-05-01,BTC,668664301773.5417,0.4407022416419946
2021-05-01,ETH,278270782653.56213,0.18340228029764039
2021-05-01,other risk assets,268319708355.82312,0.17684374152395713
2021-05-01,productized/wrapped assets,7700774152.846262,0.005075414408301176
2021-05-01,selected majors ex BTC/ETH,194518562186.69714,0.12820299538839114
2021-05-01,stable-like assets,99795897193.23994,0.06577332673971549
2021-06-01,BTC,674231340724.4149,0.47040265244696466
2021-06-01,ETH,253607549372.41992,0.17693876967686462
2021-06-01,other risk assets,219615115390.68982,0.15322267974999487
2021-06-01,productized/wrapped assets,8203995762.874367,0.005723823759621346
2021-06-01,selected majors ex BTC/ETH,172337353931.04544,0.12023758539280183
2021-06-01,stable-like assets,105311487833.07452,0.07347448897375267
2021-07-01,BTC,786531956383.648,0.49128999522547856
2021-07-01,ETH,287344044145.01373,0.17948317665965902
2021-07-01,other risk assets,240808701035.6284,0.1504158917153276
2021-07-01,productized/wrapped assets,9686010545.640629,0.006050154778963094
2021-07-01,selected majors ex BTC/ETH,167022835036.98904,0.10432716326638779
2021-07-01,stable-like assets,109558973823.24075,0.06843361835418403
2021-08-01,BTC,885729258052.6316,0.4421595811149479
2021-08-01,ETH,378977088509.6317,0.1891868753167281
2021-08-01,other risk assets,327689407660.67084,0.16358386031596797
2021-08-01,productized/wrapped assets,12987831658.609716,0.006483577406473221
2021-08-01,selected majors ex BTC/ETH,284074787892.071,0.14181126803447203
2021-08-01,stable-like assets,113730736861.9165,0.05677483781141079
2021-09-01,BTC,782626384092.2843,0.43273767122464285
2021-09-01,ETH,335476370747.3378,0.18549497739777143
2021-09-01,other risk assets,316551688358.0287,0.17503095120050235
2021-09-01,productized/wrapped assets,12295830483.429712,0.006798734565208488
2021-09-01,selected majors ex BTC/ETH,238554719865.4303,0.13190408096699263
2021-09-01,stable-like assets,123041930222.47888,0.0680335846448822
2021-10-01,BTC,1166423768409.5984,0.4514097559028638
2021-10-01,ETH,511066583044.3288,0.19778441399278734
2021-10-01,other risk assets,456862258634.0533,0.1768071658316972
2021-10-01,productized/wrapped assets,20240252769.013172,0.007833043023746149
2021-10-01,selected majors ex BTC/ETH,302303449845.1407,0.11699240893320743
2021-10-01,stable-like assets,127061506456.28525,0.04917321231569812
2021-11-01,BTC,1092574224475.6908,0.42673560473417715
2021-11-01,ETH,527331112023.3339,0.20596400312519944
2021-11-01,other risk assets,483499891365.2349,0.18884448663399997
2021-11-01,productized/wrapped assets,21307373329.6705,0.008322194171748122
2021-11-01,selected majors ex BTC/ETH,300959953733.6086,0.11754837793186375
2021-11-01,stable-like assets,134634605653.25931,0.052585333403011636
2021-12-01,BTC,892648631305.5416,0.41057437945614145
2021-12-01,ETH,441654436877.796,0.20313927562959003
2021-12-01,other risk assets,420203272360.2528,0.19327279709422185
2021-12-01,productized/wrapped assets,19463089348.844902,0.008952061932828085
2021-12-01,selected majors ex BTC/ETH,254352933886.32492,0.11698981472753928
2021-12-01,stable-like assets,145823603361.15103,0.0670716711596793
2022-01-01,BTC,719570142321.8397,0.4276414497601646
2022-01-01,ETH,311602914058.7504,0.1851860077012142
2022-01-01,other risk assets,302061664548.7087,0.17951563099571055
2022-01-01,productized/wrapped assets,14969049077.621979,0.00889612488426763
2022-01-01,selected majors ex BTC/ETH,179790189507.45316,0.1068495380388276
2022-01-01,stable-like assets,154654302774.9769,0.09191124861981541
2022-02-01,BTC,717619764688.0872,0.42648740881255653
2022-02-01,ETH,314566178973.5596,0.18694930264192516
2022-02-01,other risk assets,299238579239.874,0.17783998233693482
2022-02-01,productized/wrapped assets,15159664070.866238,0.009009514740529391
2022-02-01,selected majors ex BTC/ETH,172662479092.75925,0.10261475077881943
2022-02-01,stable-like assets,163381589446.81143,0.09709904068923461
2022-03-01,BTC,895356010540.8462,0.42621516115926256
2022-03-01,ETH,407460530687.7479,0.19396290828294438
2022-03-01,other risk assets,393139116939.4265,0.1871455042593961
2022-03-01,productized/wrapped assets,22696793057.47309,0.010804324980122541
2022-03-01,selected majors ex BTC/ETH,219941408348.50687,0.10469842353348172
2022-03-01,stable-like assets,162119799005.31302,0.07717367778479273
2022-04-01,BTC,735829877665.6912,0.4248896139173856
2022-04-01,ETH,340291788026.5969,0.19649439472688468
2022-04-01,governance/infrastructure risk assets,1005515797.6348315,0.0005806141229277456
2022-04-01,other risk assets,294747566112.28125,0.17019583380580564
2022-04-01,productized/wrapped assets,21400005467.028084,0.012356986766507127
2022-04-01,selected majors ex BTC/ETH,177446007032.2692,0.102462495350558
2022-04-01,stable-like assets,161093465437.00262,0.09302006130993117
2022-05-01,BTC,604926607440.7722,0.4643339141085423
