asset,n,sample_start,sample_end,mean_daily_return,annualized_volatility,expected_shortfall_5pct,q05_return,skew,excess_kurtosis
ADA,1262,2023-01-01,2026-06-16,-0.000283871948543179,0.842274593405196,-0.09336741811896,-0.0602715263331086,1.45491234255584,22.4490429958098
BNB,1262,2023-01-01,2026-06-16,0.000710046140344815,0.512369365136315,-0.0625895764990865,-0.0402307028145144,0.115346499979835,4.11069536000282
BTC,1262,2023-01-01,2026-06-16,0.0010915488123208,0.468100648228602,-0.0534068329757151,-0.0372829468966517,0.211274247868402,3.44824874902337
DOGE,1262,2023-01-01,2026-06-16,0.000169793263236321,0.846288648928885,-0.0999993398835667,-0.0675459435475247,0.250164832311072,3.76959092087033
ETH,1262,2023-01-01,2026-06-16,0.000319090446564037,0.635387190014924,-0.0756320142910051,-0.0508400595327959,0.201425781830003,3.91811802725738
HYPE,563,2024-11-30,2026-06-16,0.00430418396207078,1.13530567031519,-0.118249024457509,-0.0890521597805378,0.521716366109956,2.00913261858757
SOL,1262,2023-01-01,2026-06-16,0.00158290521792019,0.856114755977031,-0.0913628816748006,-0.0647891362183839,0.4608644117594,3.30517070330068
TON,1262,2023-01-01,2026-06-16,-0.000214723001071149,0.761560837623201,-0.09050601034394,-0.0602944060748716,0.250168160396637,6.07945041539138
TRX,1262,2023-01-01,2026-06-16,0.00139364163665855,0.544006353949272,-0.0533743065433047,-0.0312799048858929,8.03910180168276,201.391078493535
XRP,1262,2023-01-01,2026-06-16,0.00100969158191102,0.794989914430482,-0.0836177405154009,-0.0537493536915215,2.36941758192948,28.9660219839821
